lng1,lat1,lng2,lat2
180.00,84.03,179.00,82.73
179.00,84.03,177.80,83.13
178.00,84.03,176.70,83.63
177.00,84.03,175.60,83.93
176.00,84.03,174.50,84.13
175.00,84.03,173.40,84.33
174.00,84.03,172.30,84.63
157.00,84.03,157.10,84.83
156.00,84.03,156.20,84.53
155.00,84.03,155.20,84.23
154.00,84.03,154.30,84.13
153.00,84.03,153.20,84.03
152.00,84.03,152.20,83.93
151.00,84.03,151.10,83.93
150.00,84.03,149.90,83.83
149.00,84.03,148.80,83.73
148.00,84.03,147.60,83.53
147.00,84.03,146.40,83.23
146.00,84.03,145.10,83.03
145.00,84.03,143.90,82.83
144.00,84.03,142.60,82.83
143.00,84.03,141.60,82.83
142.00,84.03,140.60,83.03
141.00,84.03,139.70,83.33
140.00,84.03,138.80,83.63
139.00,84.03,137.90,83.83
138.00,84.03,136.80,84.03
137.00,84.03,135.70,84.23
136.00,84.03,134.60,84.23
135.00,84.03,133.40,84.23
134.00,84.03,132.10,84.23
133.00,84.03,130.70,84.23
132.00,84.03,129.40,84.33
131.00,84.03,128.10,84.43
130.00,84.03,127.10,84.63
129.00,84.03,126.20,84.83
125.00,84.03,122.20,84.93
124.00,84.03,121.00,84.73
123.00,84.03,119.70,84.53
122.00,84.03,118.50,84.23
121.00,84.03,117.20,84.03
120.00,84.03,115.90,83.83
119.00,84.03,114.70,83.73
118.00,84.03,113.40,83.73
117.00,84.03,112.20,83.83
116.00,84.03,111.10,83.93
115.00,84.03,110.10,84.13
114.00,84.03,109.20,84.13
113.00,84.03,108.40,84.13
112.00,84.03,107.60,84.13
111.00,84.03,106.60,83.93
110.00,84.03,105.50,83.93
109.00,84.03,104.30,83.83
108.00,84.03,103.10,83.93
107.00,84.03,101.90,84.13
106.00,84.03,100.90,84.33
105.00,84.03,100.10,84.43
104.00,84.03,99.30,84.43
103.00,84.03,98.50,84.33
102.00,84.03,97.60,84.13
101.00,84.03,96.60,84.03
100.00,84.03,95.60,84.23
99.00,84.03,94.70,84.53
60.00,84.03,56.40,84.73
59.00,84.03,54.00,83.83
58.00,84.03,51.40,82.93
57.00,84.03,49.30,82.23
56.00,84.03,46.90,81.53
55.00,84.03,46.00,81.33
54.00,84.03,45.60,81.33
53.00,84.03,45.60,81.53
52.00,84.03,45.30,81.83
51.00,84.03,44.90,82.13
50.00,84.03,44.00,82.33
49.00,84.03,42.90,82.33
48.00,84.03,41.70,82.23
47.00,84.03,40.60,82.13
46.00,84.03,39.40,81.83
45.00,84.03,38.00,81.63
44.00,84.03,36.80,81.33
43.00,84.03,35.70,81.13
42.00,84.03,34.80,80.93
41.00,84.03,34.20,80.93
40.00,84.03,33.50,80.83
39.00,84.03,32.80,80.73
38.00,84.03,32.00,80.53
37.00,84.03,31.20,80.33
36.00,84.03,30.20,80.13
35.00,84.03,29.10,79.93
34.00,84.03,28.10,79.83
33.00,84.03,27.10,79.73
32.00,84.03,26.00,79.63
31.00,84.03,24.90,79.53
30.00,84.03,24.00,79.63
29.00,84.03,23.00,79.53
28.00,84.03,22.00,79.63
27.00,84.03,21.10,79.63
26.00,84.03,20.20,79.63
25.00,84.03,19.20,79.73
24.00,84.03,18.30,79.73
23.00,84.03,17.30,79.73
22.00,84.03,16.30,79.73
21.00,84.03,15.30,79.73
20.00,84.03,14.40,79.73
19.00,84.03,13.60,79.73
18.00,84.03,12.80,79.73
17.00,84.03,11.90,79.73
16.00,84.03,11.10,79.73
15.00,84.03,10.30,79.73
14.00,84.03,9.50,79.73
13.00,84.03,8.70,79.73
12.00,84.03,8.00,79.73
11.00,84.03,7.20,79.73
10.00,84.03,6.50,79.73
9.00,84.03,5.80,79.73
8.00,84.03,5.00,79.73
7.00,84.03,4.20,79.83
6.00,84.03,3.40,79.93
5.00,84.03,2.50,79.93
4.00,84.03,1.70,80.03
3.00,84.03,0.90,80.13
2.00,84.03,0.10,80.13
1.00,84.03,-0.70,80.23
0.00,84.03,-1.50,80.23
-1.00,84.03,-2.30,80.23
-2.00,84.03,-3.10,80.23
-3.00,84.03,-3.80,80.33
-4.00,84.03,-4.60,80.33
-5.00,84.03,-5.30,80.43
