name,owner,lat,lng
Plug'nRoll,Plug'nRoll,46.913439,9.781794
Plug'nRoll,Plug'nRoll,46.322867,10.056174
Plug'nRoll,Plug'nRoll,46.548885,9.889863
Plug'nRoll,Plug'nRoll,46.774903,9.203681
Plug'nRoll,Plug'nRoll,46.966665,9.555643
Plug'nRoll,Plug'nRoll,47.386515,8.516766
Plug'nRoll,Plug'nRoll,46.969557,9.814578
Plug'nRoll,Plug'nRoll,46.927759,9.001020
BellinzonaSüd,BellinzonaSüd,46.182242,9.001796
Kemptthal,Kemptthal,47.449367,8.700137
GotthardSüd,GotthardSüd,46.846522,8.632302
Grauholz,Grauholz,46.990174,7.475976
GotthardNord,GotthardNord,46.847886,8.633197
Heidiland,Heidiland,47.011751,9.512371
Neuenkirch,Neuenkirch,47.113372,8.232328
CafedelaPlaceErde,CafedelaPlaceErde,46.238289,7.291881
TeslaSupercharger,TeslaSupercharger,46.126616,7.061055
BellinzonaNord,BellinzonaNord,46.209502,9.026603
Martigny,Martigny,46.127822,7.059829
BulleSupercharger,BulleSupercharger,46.6243313000,7.0349921000
AffolternSupercharger,AffolternSupercharger,47.2712110000,8.4394330000
ObfeldenSupercharger,ObfeldenSupercharger,47.2720370000,8.4377910000
Suhr,Suhr,47.380548,8.109115
Lenzburg,Lenzburg,47.392556,8.160158
OrkuveitaReykjavikur,OrkuveitaReykjavikur,64.119820,-21.800276
ShellMiklubraut,ShellMiklubraut,64.132080,-21.892743
SmáraLindShopingCenter,SmáraLindShopingCenter,64.100487,-21.884626
BLSævarhöfða,BLSævarhöfða,64.125357,-21.838495
FitjarReykjanesbæ,FitjarReykjanesbæ,63.972696,-22.543254
Ikea,Ikea,64.074466,-21.916936
OlísSelfossi,OlísSelfossi,63.943778,-21.008601
N1Borgarnesi,N1Borgarnesi,64.543811,-21.910129
Fríkirkjuvegur(viðtjörnina),Fríkirkjuvegur(viðtjörnina),64.144633,-21.939469
StaðarskáliSupercharger,StaðarskáliSupercharger,65.1446430000,-21.0849060000
KirkjubæjarklausturSupercharger,KirkjubæjarklausturSupercharger,63.7888810000,-18.0519160000
VatnagardarSupercharger,VatnagardarSupercharger,64.1450350000,-21.8546270000
EWEKundenCenterVechta,EWEKundenCenterVechta,52.730793,8.291246
SWB-WaterfrontShopping,SWB-WaterfrontShopping,53.114259,8.749239
SWB-WeserparkShoppingCenter,SWB-WeserparkShoppingCenter,53.048743,8.958257
SWB-Grenzstraße,SWB-Grenzstraße,53.093814,8.784879
EWE-NeuWulmstorf,EWE-NeuWulmstorf,53.367796,10.146489
Citti-ParkKiel,Citti-ParkKiel,54.313028,10.100192
Citti-ParkFlensburg,Citti-ParkFlensburg,54.773635,9.396487
EWEKundenCenterPapenburg,EWEKundenCenterPapenburg,53.083827,7.385174
EWEKundenCenterTostedt,EWEKundenCenterTostedt,53.269358,9.730525
EWE-SnowDomeSöldenBispingen,EWE-SnowDomeSöldenBispingen,53.104135,9.982497
FlensburgZentraleOmnibus-Bahnhof,FlensburgZentraleOmnibus-Bahnhof,54.785852,9.437044
SchleswigerStadthafen,SchleswigerStadthafen,54.511671,9.569964
TÜVNORDeSTATIONHannover-Döhren,TÜVNORDeSTATIONHannover-Döhren,52.333999,9.775937
Volkswagen-ZentrumKiel,Volkswagen-ZentrumKiel,54.311564,10.125074
OchtumParkBrinkum,OchtumParkBrinkum,53.028199,8.806151
UniversityBraunschweig-IVB,UniversityBraunschweig-IVB,52.314107,10.541908
TropicalIslands,TropicalIslands,52.040337,13.747073
FamilaQuickborn-Heide[Clever],FamilaQuickborn-Heide[Clever],53.742899,9.940395
FamilaReinfeld,FamilaReinfeld,53.822088,10.502501
FleggaardBurg,FleggaardBurg,54.443080,11.178391
TeamTankstelleOsterrönfeld[Clever],TeamTankstelleOsterrönfeld[Clever],54.295785,9.707065
AutohofSittensen,AutohofSittensen,53.293233,9.504547
ADACServiceCenter,ADACServiceCenter,52.297719,9.827067
AutobahnraststätteBuddikateWest,AutobahnraststätteBuddikateWest,53.692311,10.319853
AutobahnraststätteBuddikateOst,AutobahnraststätteBuddikateOst,53.692260,10.325303
FamilaSereetz,FamilaSereetz,53.927036,10.722528
FamilaTrappenkamp,FamilaTrappenkamp,54.043201,10.213745
P&R-Anlage,P&R-Anlage,53.677303,10.149055
ErlebniswaldTrappenkamp,ErlebniswaldTrappenkamp,54.024399,10.239000
RathausGreifswald,RathausGreifswald,54.095640,13.380520
SWSStadtwerkeStralsundGmbH,SWSStadtwerkeStralsundGmbH,54.311511,13.097063
BurgerkingStralsund,BurgerkingStralsund,54.299889,13.094265
HerzsprungSupercharger,HerzsprungSupercharger,53.067414,12.533233
Blankenfelde-MahlowSupercharger,Blankenfelde-MahlowSupercharger,52.308964,13.444755
UckerfeldeSupercharger,UckerfeldeSupercharger,53.235017,13.986079
SüderholzSupercharger,SüderholzSupercharger,54.093039,13.085918
WittenburgSupercharger,WittenburgSupercharger,53.507217,11.096503
LauenauSupercharger,LauenauSupercharger,52.278976,9.350916
KamenSupercharger,KamenSupercharger,51.570161,7.675303
BraakSupercharger,BraakSupercharger,53.617797,10.239682
WilnsdorfSupercharger,WilnsdorfSupercharger,50.816870,8.085760
